"Descripcio";"Nom_comercial";"Codi_carrer";"Codi_via";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"despatx mèdic";"oxigen salud";"449";"CR";"PAU CASALS";"36";"";"N";"";"";"N";"";"BS";"2";"4192";"484395";"4647855";"2,81162544";"41,98254159"
"TALLER DE REPARACIÓ DE VEHICLES";"SPEEDY AUTOSERVICIO ESPAÑA";"56";"CR";"BARCELONA";"59";"B";"N";"";"";"N";"";"BS";"";"2666";"484835";"4647112";"2,81695600";"41,97585824"
"BAR AMB VENDA DE PA";"UN SOL MÓN";"392";"PL";"MIQUEL DE PALOL";"5";"";"N";"";"";"N";"";"BS";"A";"8926";"484596";"4647789";"2,81405351";"41,98195111"
"SUPERMERCAT";"MAXI DIA";"190";"CR";"ENRIC CLAUDI GIRBAL I NADAL";"24";"";"N";"";"";"N";"";"BS";"";"1908";"485367";"4646694";"2,82338770";"41,97210351"
"BAR-RESTAURANT (CAT. 2)";"LA BODEGA DE CAN VEÍ";"122";"CR";"CARDENAL MARGARIT";"11";"";"N";"";"";"N";"";"BS";"";"1443";"485198";"4647145";"2,82133662";"41,97616236"
"CENTRE DE DISTRIBUCIÓ I EMMAGATZEMATGE DE GASOLIS";"PETROCAT";"595";"CT";"SANTA COLOMA";"71";"";"N";"0";"";"N";"";"";"";"5051";"483970";"4645690";"2,80655412";"41,96303364"
"BAR";"SÈQUIA";"612";"CR";"SÈQUIA";"25";"";"N";"";"";"N";"";"BS";"L2";"3931";"485000";"4647896";"2,81892756";"41,98292262"
"VENDA PROD. ALIMENTARIS I LLEGUMS CUITS";"PETIT MERCAT";"596";"CR";"SANTA EUGÈNIA";"81";"";"N";"0";"";"N";"";"";"";"4724";"484203";"4647374";"2,80932066";"41,97820557"
"BAR-RESTAURANT (CAT. 3)";"LA BRASA";"260";"GV";"JAUME I";"8";"";"N";"";"";"N";"";"BS";"";"3885";"485251";"4648209";"2,82194964";"41,98574644"
"BAR-RESTAURANT";"EL SIBARITA";"689";"RB";"XAVIER CUGAT";"36";"";"N";"";"";"N";"";"BS";"";"7445";"484609";"4648962";"2,81417971";"41,99251615"
"MUTUA D'ACCIDENTS DE TREBALL";"MUTUA INTERCOMARCAL";"596";"CR";"SANTA EUGÈNIA";"96";"";"N";"";"";"N";"";"BS";"";"4339";"484424";"4647535";"2,81198398";"41,97966004"
"BAR-RESTAURANT (CAT. 3)";"LA REGOLTA";"449";"CR";"PAU CASALS";"4";"";"N";"";"";"N";"";"BS";"1";"4179";"484720";"4648030";"2,81554408";"41,98412413"
"MAGATZEM-VDA-MANTENIMENT MAQ. INDUSTRIAL";"SERVICOM - GMI GENERATORS";"566";"CT";"SANT FELIU";"2";"";"N";"0";"";"N";"";"";"";"691";"486454";"4646602";"2,83650926";"41,97129433"
"TALLER D'ELECTRICITAT";"AUTOMATISMES I MUNTATGES JOSEP COLL PALLÈS";"732";"CR";"GEORGE STEPHENSON";"13";"";"N";"0";"";"N";"";"";"";"10150";"484100";"4645408";"2,80813054";"41,96049639"
"BAR";"JOSÉ Y JUAN";"388";"CR";"MIMOSA";"12";"";"N";"";"";"N";"";"BS";"1";"643";"487057";"4647004";"2,84377817";"41,97492515"
"RECANVIS PER A VEHICLES INDUSTRIALS";"CASALS NADAL SL";"721";"CR";"CAN PAU BIROL";"37";"";"N";"39";"";"N";"";"";"";"10270";"483647";"4645715";"2,80265557";"41,96325218"
"BAR RESTAURANT (CAT.1)";"COFFEE BREAK";"537";"CR";"RIU SER";"10";"";"N";"";"";"N";"";"BS";"3";"9010";"484798";"4646507";"2,81652505";"41,97040850"
"EXPLOTACIÓ I LLOGUER D'APARCAMENTS";"";"596";"CR";"SANTA EUGÈNIA";"13";"";"N";"";"";"N";"";"ST";"";"4215";"484814";"4647649";"2,81668866";"41,98069441"
"TALLER MECÀNIC D' INOXTALL";"OXITER GIRONA SL";"241";"CR";"RIERA GARRAP";"24";"";"N";"28";"";"N";"";"";"";"10805";"483216";"4649076";"2,79735844";"41,99351445"
"BAR SENSE ELEMENTS DE COCCIÓ";"EL SÍMBOL";"125";"CR";"CARME";"20";"";"N";"";"";"N";"";"BS";"2";"603";"485574";"4646991";"2,82587878";"41,97478231"
"BAR RESTAURANT ROSTISSERIA";"TIPS MASIA URBANA";"386";"CR";"MIGDIA";"163";"";"N";"";"";"N";"";"";"";"2306";"484819";"4646053";"2,81679021";"41,96631987"
"BAR RESTAURANT (CAT. 2)";"PEDRAFORCA";"451";"CR";"PEDRAFORCA";"3";"";"N";"";"";"N";"";"BS";"2";"5682";"483586";"4646896";"2,80188648";"41,97388778"
"RESIDÈNCIA GERIÀTRICA";"GERS GERUNDA";"334";"AV";"LLUÍS PERICOT";"45";"";"N";"";"";"N";"";"";"";"10126";"485386";"4646116";"2,82363138";"41,96689801"
"BOTIGA  ARTICLES DE REGAL I FERRETERIA";"GRAN ESPAI";"56";"CR";"BARCELONA";"161";"";"N";"";"";"N";"";"";"";"2572";"484535";"4646012";"2,81336389";"41,96594508"
"VDA. MAJOR I MENOR DE MINERALS";"LA MACLA";"149";"CR";"CIUTADANS";"14";"";"N";"";"";"N";"";"BS";"";"23";"485540";"4647996";"2,82544368";"41,98383338"
"BAR - RESTAURANT (CAT.2)";"MON MAR";"56";"CR";"BARCELONA";"427";"";"N";"";"";"N";"";"";"";"3633";"484080";"4644609";"2,80791080";"41,95329965"
"CONSULTORI MEDIC I RECUPERACIO FUNCIONAL";"Ressonància Girona";"317";"CR";"JULI GARRETA";"13";"";"N";"0";"";"N";"";"";"";"1205";"485055";"4647475";"2,81960220";"41,97913186"
"MAGATZEM A L(ENGROS-PETITA MAT DECORACIO";"HIPER DECORACIÓ";"56";"CR";"BARCELONA";"481";"";"N";"";"";"N";"";"";"";"3626";"483982";"4644273";"2,80673749";"41,95027142"
"RESIDÈNCIA CANINA";"";"99";"DI";"CAMPDORÀ";"41";"";"N";"";"";"N";"";"";"";"10402";"486156";"4652247";"2,83277958";"42,02213161"
"FORN DE PA I BOLLERIA";"FORN DE PA SANT DANIEL";"446";"CR";"PARE COLL";"7";"";"N";"";"";"N";"";"BS";"1";"5607";"484461";"4647312";"2,81243650";"41,97765229"
"BAR RESTAURANT (CAT. 3)";"LE BISTROT";"565";"PJ";"SANT DOMÈNEC";"4";"";"N";"";"";"N";"";"BS";"";"5872";"485587";"4648102";"2,82600845";"41,98478894"
"BAR-RESTAURANT (CAT. 1)";"L'ALIANÇA";"268";"CR";"HEROÏNES DE SANTA BÀRBARA";"3";"";"N";"";"";"N";"";"BS";"";"433";"485518";"4647189";"2,82519799";"41,97656460"
"BAR RESTAURANT (CAT. 2)";"CHAPLIN";"560";"RD";"SANT ANTONI MARIA CLARET";"3";"";"N";"";"";"N";"";"BS";"1";"1154";"485016";"4647642";"2,81912718";"41,98063523"
"EL·LABORACIÓ I VENDA ARTICLES PASTISSERIA";"JORMA";"624";"CT";"TAIALÀ";"21";"";"N";"";"";"N";"";"BS";"1";"7736";"483977";"4649131";"2,80654482";"41,99402567"
"RESTAURANT";"EL JARDI";"386";"CR";"MIGDIA";"77";"";"N";"";"";"N";"";"BS";"1";"1859";"485113";"4646736";"2,82032101";"41,97247704"
"BAR";"LA CREU";"166";"CR";"CREU";"7";"";"N";"";"";"N";"";"BS";"";"1527";"485322";"4647034";"2,82283609";"41,97516494"
"GARATGE, MAGATZEM, OFICINES I BENZINERA";"TELEFÓNICA";"300";"CR";"JOAN TORRÓ I CABRATOSA";"22";"";"N";"";"";"N";"";"BS";"1";"8842";"483849";"4645350";"2,80510326";"41,95996890"
"RESTAURANT";"DOMINO'S PIZZA";"56";"CR";"BARCELONA";"12";"";"N";"";"";"N";"";"BS";"1";"1116";"484975";"4647716";"2,81863038";"41,98130094"
"AGENCIA DE TRANSPORTS";"";"12";"CR";"ALACANT";"1";"";"N";"";"";"N";"";"BS";"";"4874";"484400";"4646293";"2,81172723";"41,96847329"
"CENTRE - TALLER DE FORMACIÓ OCUPACIONAL";"ESCOLA TÈCNICA GIRONA";"56";"CR";"BARCELONA";"199";"";"N";"";"";"N";"";"";"";"3544";"484458";"4645737";"2,81244190";"41,96346673"
"BAR MUSICAL";"LA IMPREMTA";"513";"CR";"RAMON TURRÓ";"18";"";"N";"0";"";"N";"";"BS";"";"4095";"484870";"4648000";"2,81735560";"41,98385682"
"VENDA MAJOR DE SABATES";"MERKALZADOS";"434";"PG";"OLOT";"64";"";"N";"";"";"N";"";"BS";"";"5150";"483868";"4647036";"2,80528630";"41,97515453"
"TALLER DE REPARACIÓ I MANTENIMENT DE VEHICLES I ELECTRICITAT";"ELECTROMECÀNICA TAIALÀ";"582";"CR";"SANT MEDIR";"61";"";"N";"63";"";"N";"";"BS";"2";"8172";"484246";"4649284";"2,80978849";"41,99540911"
"BAR-RESTAURANT (CAT. 2)";"JORBEL";"587";"PL";"SANT PERE";"6";"";"N";"";"";"N";"";"BS";"";"6319";"485526";"4648645";"2,82525870";"41,98967844"
"VDA.MAJOR MATERIAL ELECTRIC I SOLDADURA";"COMERCIAL BRUSI TERRADES";"31";"CT";"ANTIGA D'AMER";"54";"";"N";"";"";"N";"";"";"";"11147";"482485";"4648458";"2,78855119";"41,98793244"
"EXPOSICÓ, VENDA I TALLER DE REPARACIÓ DE VEHICLES";"AM 94";"300";"CR";"JOAN TORRÓ I CABRATOSA";"38";"";"N";"";"";"N";"";"";"";"8843";"483743";"4645353";"2,80382407";"41,95999375"
"BAR RESTAURANT (CAT. 3)";"BALMES";"52";"CR";"JAUME BALMES";"3";"";"N";"";"";"N";"";"BS";"1";"2645";"484993";"4647074";"2,81886405";"41,97551901"
"BAR";"CATALUNYA";"585";"AV";"SANT NARCÍS";"91";"";"N";"";"";"N";"";"BS";"L1";"4666";"484498";"4646814";"2,81289623";"41,97316770"
"PERRUQUERIA";"PERRUQUERIA CRISTINA";"552";"CR";"ROSSELLÓ";"36";"";"N";"";"";"N";"";"BS";"1";"5285";"484263";"4646499";"2,81006831";"41,97032594"
"DESPATX D'ADVOCAT";"BUFET RIBAS";"74";"CR";"TOMÁS DE LORENZANA";"31";"";"N";"";"";"N";"";"EN";"";"1323";"485153";"4647379";"2,82078755";"41,97826908"
"REPARACIÓ D'ELECTRODOMÈSTICS";"BHS INTERSERVICE";"446";"CR";"PARE COLL";"22";"";"N";"";"";"N";"";"";"";"5509";"484458";"4647397";"2,81239804";"41,97841779"
"DESPATX PROFESSIONAL D'ECONOMISTA";"ECONOMIA I GESTIÓ";"585";"AV";"SANT NARCÍS";"28";"";"N";"";"";"N";"";"EN";"3";"5517";"484562";"4647364";"2,81365425";"41,97812262"
"DESPATX PER A REPARTIMENT DE FEINES.";"NCR ESPAÑA S.A.";"596";"CR";"SANTA EUGÈNIA";"50";"";"N";"";"";"N";"";"EN";"2";"4251";"484633";"4647645";"2,81450391";"41,98065488"
"SERVEIS JURÍDICS";"BUFET JAMBERT ADVOCATS ASSOCIATS";"359";"PL";"MARQUÈS DE CAMPS";"9";"";"N";"";"";"N";"";"6";"4";"1109";"484986";"4647778";"2,81876158";"41,98185957"
"BAR RESTAURANT (CAT. 3) I ELABORACIÓ I VENDA DE GELATS";"VIM";"29";"CR";"ANSELM CLAVÉ I CAMPS";"9";"";"N";"";"";"N";"";"BS";"";"3794";"485335";"4648148";"2,82296521";"41,98519860"
"IMPRENTA";"IMPRENTA SANT NARCÍS, IMPRESSIÓ I ARTS GRÀFIQUES";"347";"CR";"MARE DE DÉU DELS ÀNGELS";"26";"";"N";"0";"";"N";"";"";"";"5627";"484340";"4647233";"2,81097808";"41,97693837"
