Descripcio;Nom_comercial;Codi_carrer;Codi_via;Nom_carrer;Numero_inf;Lletra_inf;Accessori_inf;Numero_sup;Lletra_sup; Accessori_sup;Escala;Pis;Porta;Id_edifici;utm_x_ed50;utm_y_ed50;utm_x_etrs89; utm_y_etrs89;lon;lat
SUPERMERCAT;MAXI DIA;190;CR;Enric Claudi Girbal i Nadal;24;;N;;;N;;BS;;1908;485461;4646899;485367;4646694;2,82339344;41,97210631
BAR-RESTAURANT (CAT. 2);BEIRUT;122;CR;Cardenal Margarit;11;;N;;;N;;BS;;1443;485292;4647349;485198;4647144;2,82134243;41,97615617
CENTRE DE DISTRIBUCIÓ I EMMAGATZEMATGE DE GASOLIS;PETROCAT;595;CT;Santa Coloma;71;;N;0;;N;;;;5051;484064;4645894;483970;4645689;2,80655976;41,96302752
BAR;SÈQUIA;612;CR;Sèquia;25;;N;0;;N;;;;3931;485089;4648098;484995;4647893;2,81887314;41,98289834
VENDA PROD. ALIMENTARIS I LLEGUMS CUITS;PETIT MERCAT;596;CR;Santa Eugènia;81;;N;0;;N;;;;4724;484318;4647579;484224;4647374;2,80957993;41,97820888
BAR-RESTAURANT (CAT. 3);LA BRASA;260;CR;Jaume I;8;;N;;;N;;BS;;3885;485344;4648415;485250;4648210;2,82194343;41,98575825
BAR-RESTAURANT;EL SIBARITA;689;RB;Xavier Cugat;36;;N;;;N;;BS;;7445;484702;4649165;484608;4648960;2,81417365;41,99250101
MUTUA D'ACCIDENTS DE TREBALL;MUTUA INTERCOMARCAL;596;CR;Santa Eugènia;96;;N;;;N;;BS;;4339;484518;4647740;484424;4647535;2,81198979;41,97966292
BAR-RESTAURANT (CAT. 3);LA REGOLTA;449;CR;Pau Casals;4;;N;;;N;;BS;1;4179;484814;4648235;484720;4648030;2,81554994;41,98412699
despatx mèdic;oxigen salud;449;CR;Pau Casals;36;;N;;;N;;BS;2;4192;484489;4648059;484395;4647854;2,8116313;41,98253547
TALLER DE REPARACIÓ DE VEHICLES;SPEEDY AUTOSERVICIO ESPAÑA;56;CR;Barcelona;59;B;N;;;N;;BS;;2666;484929;4647317;484835;4647112;2,81696177;41,97586108
BAR AMB VENDA DE PA I MAQUINES EXPENEDORES DE BEGUDES;UN SOL MÓN;392;PL;Miquel de Palol;5;;N;;;N;;BS;A;8926;484690;4647996;484596;4647791;2,81405929;41,98197199
MAGATZEM-VDA-MANTENIMENT MAQ. INDUSTRIAL;SERVICOM - GMI GENERATORS;566;CT;Sant Feliu;2;;N;0;;N;;;;691;486549;4646812;486455;4646607;2,83652697;41,97134209
TALLER D'ELECTRICITAT;AUTOMATISMES I MUNTATGES JOSEP COLL PALLÈS;732;CR;George Stephenson;13;;N;0;;N;;;;10150;484194;4645613;484100;4645408;2,80813612;41,96049926
BAR;JOSÉ Y JUAN;388;CR;Mimosa;12;;N;;;N;;BS;;643;487150;4647209;487056;4647004;2,84377191;41,9749278
RECANVIS PER A VEHICLES INDUSTRIALS;CASALS NADAL SL;721;CR;Can Pau Birol;37;;N;39;;N;;;;10270;483740;4645920;483646;4645715;2,80264911;41,96325506
BAR RESTAURANT (CAT.1);PIPPERS;537;CR;Riu Ser;10;;N;;;N;;BS;3;9010;484892;4646712;484798;4646507;2,81653076;41,97041133
EXPLOTACIÓ I LLOGUER D'APARCAMENTS;;596;CR;Santa Eugènia;13;;N;;;N;;ST;;4215;484907;4647854;484813;4647649;2,81668241;41,98069724
TALLER MECÀNIC D' INOXTALL;OXITER GIRONA SL;241;CR;Riera Garrap;24;;N;28;;N;;;;10805;483310;4649309;483216;4649104;2,79736357;41,99376963
BAR SENSE ELEMENTS DE COCCIÓ;EL SÍMBOL;125;CR;Carme;20;;N;;;N;;BS;2;603;485666;4647196;485572;4646991;2,82586041;41,97478506
BAR RESTAURANT ROSTISSERIA;TIPS MASIA URBANA;386;CR;Migdia;163;;N;;;N;;;;2306;484912;4646259;484818;4646054;2,81678378;41,96633168
BAR RESTAURANT (CAT. 2);PEDRAFORCA;451;CR;Pedraforca;3;;N;;;N;;BS;2;5682;483679;4647103;483585;4646898;2,80188008;41,9739087
RESIDÈNCIA GERIÀTRICA;GERS GERUNDA;334;AV;Lluís Pericot;45;;N;;;N;;;;10126;485480;4646320;485386;4646115;2,82363709;41,96689178
BOTIGA  ARTICLES DE REGAL I FERRETERIA;ELEGANT ESPAI;56;CR;Barcelona;161;;N;;;N;;;;2572;484629;4646217;484535;4646012;2,81336955;41,96594792
VDA. MAJOR I MENOR DE MINERALS;LA MACLA;149;CR;Ciutadans;14;;N;;;N;;BS;;23;485633;4648201;485539;4647996;2,82543749;41,98383616
BAR - RESTAURANT (CAT.2);ATURA'T;56;CR;Barcelona;427;;N;;;N;;;;3633;484174;4644813;484080;4644608;2,80791634;41,9532935
CONSULTORI MEDIC I RECUPERACIO FUNCIONAL;Ressonància Girona;317;CR;Juli Garreta;13;;N;0;;N;;;;1205;485149;4647680;485055;4647475;2,81960801;41,97913469
MAGATZEM A L(ENGROS-PETITA MAT DECORACIO;HIPER DECORACIÓ;56;CR;Barcelona;481;;N;;;N;;;;3626;484074;4644473;483980;4644268;2,80671897;41,9502292
RESIDÈNCIA CANINA;;99;DI;Campdorà;41;;N;;;N;;;;10402;486250;4652453;486156;4652248;2,83278587;42,02214343
BAR;LE BISTROT;565;PJ;Sant Domènec;4;;N;;;N;;BS;;5872;485680;4648305;485586;4648100;2,82600231;41,98477371
BAR-RESTAURANT (CAT. 1);L'ALIANÇA;268;CR;Heroïnes de Santa Bàrbara;3;;N;;;N;;BS;;433;485611;4647394;485517;4647189;2,82519171;41,97656737
BAR RESTAURANT (CAT. 2);CHAPLIN;560;CR;Sant Antoni Maria Claret;3;;N;;;N;;BS;1;1154;485109;4647847;485015;4647642;2,81912094;41,98063805
EL.LABORACIO I VDA. ARTICLES PASTISSERIA;;624;CT;Taialà;21;;N;;;N;;BS;1;7736;484070;4649336;483976;4649131;2,8065387;41,99402858
RESTAURANT;EL JARDI;386;CR;Migdia;77;;N;;;N;;BS;1;1859;485207;4646940;485113;4646735;2,82032677;41,97247084
BAR;LA CREU;166;CR;Creu;7;;N;;;N;;BS;;1527;485415;4647237;485321;4647032;2,82282984;41,97514971
