"Descripcio";"Nom_comercial";"Codi_carrer";"Nom_carrer";"Numero_inf";"Lletra_inf";"Accessori_inf";"Numero_sup";"Lletra_sup";" Accessori_sup";"Escala";"Pis";"Porta";"Id_edifici";"utm_x_etrs89";" utm_y_etrs89";"lon";"lat"
"AUDIÈNCIA PROVINCIAL";"AUDIÈNCIA PROVINCIAL - PALAU DE JUSTÍCIA";"0926";"Plaça de Josep Maria Lidón Corbí";"1";"";"N";"";"";"N";"";"";"";"12200";"484358";"4648033";"2,81117406";"41,98414404"
"CENTRE ESCOLAR D'INFANTIL I PRIMÀRIA";"CEIP DOMENY DEVESA";"0913";"Carrer de Roberto Bolaño Ávalos";"2";"";"N";"";"";"N";"";"";"";"12925";"484058";"4648784";"2,80753219";"41,99090201"
"VENDA I MAGATZEM DE MATERIAL ELÈCTRIC";"INDUSTRIAL GINÉS";"0906";"Carrer de Marie Curie";"12";"";"N";"";"";"N";"";"";"";"12232";"483343";"4645272";"2,79899952";"41,95925586"
"VENDA D'ARTICLES PIROTÈCNICS";"";"0904";"Carrer d'Ovidi Montllor";"2";"";"N";"";"";"N";"";"";"";"12758";"";"";"";""
"VENDA DE PRODUCTES PIROTÈCNICS";"";"0904";"Carrer d'Ovidi Montllor";"2";"";"N";"";"";"N";"";"";"";"12758";"";"";"";""
"EXPOSICIÓ, VENDA I REPARACIÓ AMB PINTURA DE VEHICLES";"GARATGE ANDREU";"0900";"Carrer d'Antoni Barnés i Gultresa";"8";"";"N";"";"";"N";"";"";"";"12195";"483405";"4645482";"2,79974175";"41,96114856"
"HABITATGE D'ÚS TURÍSTIC";"ESPAIS SINGULARS";"0899";"Carrer dels Germans Busquets";"2";"";"N";"";"";"N";"";"4";"";"5712";"485431";"4647922";"2,82412971";"41,98316488"
"HABITATGE D'ÚS TURÍSTIC";"GIROROOMS";"0899";"Carrer dels Germans Busquets";"2";"";"N";"";"";"N";"";"3";"";"5712";"485431";"4647922";"2,82412971";"41,98316488"
"SERVEI D'ALLOTJAMENT I ESMORZAR";"B&B BELLS OFICIS";"0899";"Carrer dels Germans Busquets";"2";"";"N";"";"";"N";"";"2";"";"5712";"485431";"4647922";"2,82412971";"41,98316488"
"CENTRE D'ESTÈTICA";"CENTRE D'ESTÈTICA UMINA";"0899";"Carrer dels Germans Busquets";"2";"";"N";"";"";"N";"";"1";"";"5712";"485431";"4647922";"2,82412971";"41,98316488"
"DESPATX TÈCNIC PROFESSIONAL";"";"0895";"Carrer de les Terreres";"16";"";"N";"";"";"N";"";"";"";"12444";"484873";"4644808";"2,81747390";"41,95510759"
"CENTRE VETERINARI";"VET & VET";"0892";"Plaça de Celestina Vigneaux i Cibils";"3";"";"N";"";"";"N";"";"BS";"";"12088";"484684";"4646129";"2,81515901";"41,96700177"
"APARTAMENTS DE LLOGUER I APARCAMENTS PRIVATS";"PATRONAT BENÈFIC DE LA SANTA CREU DE LA SELVA";"0891";"Carrer de Francesc Ferrer i Gironès";"6";"";"N";"";"";"N";"";"ST";"-2";"12763";"484870";"4649333";"2,81732128";"41,99586267"
"BAR-RESTAURANT (CAT. 3) AMB TERRASSA PRIVADA";"GIRUM";"0891";"Carrer de Francesc Ferrer i Gironès";"6";"";"N";"";"";"N";"";"BS";"1";"12763";"484870";"4649333";"2,81732128";"41,99586267"
"HOTEL I HOSTAL AMB INSTAL·LACIÓ ESTACIÓ DE RECÀRREGA DE VEHICLES ELÈCTRICS";"HOTEL IBIS - HOSTAL ETAP";"0891";"Carrer de Francesc Ferrer i Gironès";"16";"";"N";"";"";"N";"";"";"";"12154";"484885";"4649593";"2,81749569";"41,99820468"
"OFICINES, APARCAMENT PRIVAT I SALES D'ÚS POLIVALENT";"";"0891";"Carrer de Francesc Ferrer i Gironès";"14";"";"N";"";"";"N";"1";"BS";"";"12220";"";"";"";""
"TALLER DE FUSTERIA";"FUSTERIA GUIXERAS";"0862";"Carrer de Can Benet del Riu";"16";"";"N";"";"";"N";"";"BS";"1";"11243";"483081";"4648289";"2,79575119";"41,98642335"
"COMERÇ I MANTENIMENT DE MÀQUINES RECREATIVES";"CODERE";"0862";"Carrer de Can Benet del Riu";"10";"";"N";"";"";"N";"";"";"";"12199";"483066";"4648412";"2,79556656";"41,98753084"
"CENTRE SOCIAL";"";"0860";"Plaça de George Orwell";"1";"";"N";"";"";"N";"";"";"";"11877";"485824";"4646781";"2,82890132";"41,97289545"
"VENDA DE REFRESCS.";"CLUB PETANCA MONTILIVI";"0860";"Plaça de George Orwell";"1";"";"N";"";"";"N";"";"";"";"11877";"485824";"4646781";"2,82890132";"41,97289545"
"HABITATGE D'ÚS TURÍSTIC";"";"0856";"Carrer de Josepa Arnall i Juan";"5";"";"N";"";"";"N";"";"6";"3";"11940";"485068";"4646172";"2,81979220";"41,96739642"
