,2022,,2021,,2020,,2019,,2018,,2017,,2016,,2015,,2014,,2013,
,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%,Nombre,%
"Administració Pública",59,"12,66",59,"12,02",58,"13,98",58,"14,46",58,"15,85",57,"16,06",59,"16,81",65,"18,01",72,"19,62",75,"20,33"
"Centres cívics",8,"1,72",8,"1,63",8,"1,93",8,2,8,"2,19",8,"2,25",8,"2,28",8,"2,22",8,"2,18",8,"2,17"
"Centres socials",4,"0,86",4,"0,81",4,"0,96",5,"1,25",6,"1,64",6,"1,69",7,"1,99",8,"2,22",8,"2,18",8,"2,17"
Biblioteques,6,"1,29",6,"1,22",6,"1,45",6,"1,5",6,"1,64",6,"1,69",6,"1,71",6,"1,66",6,"1,63",6,"1,63"
"Auditori i Palau de congressos",1,"0,21",1,"0,2",1,"0,24",1,"0,25",1,"0,27",1,"0,28",1,"0,28",1,"0,28",1,"0,27",1,"0,27"
Teatres,2,"0,43",2,"0,41",2,"0,48",2,"0,5",2,"0,55",2,"0,56",2,"0,57",2,"0,55",2,"0,54",2,"0,54"
Museus,7,"1,5",7,"1,43",7,"1,69",7,"1,75",7,"1,91",7,"1,97",7,"1,99",7,"1,94",8,"2,18",8,"2,17"
"Sales d'exposicions",2,"0,43",2,"0,41",2,"0,48",2,"0,5",2,"0,55",2,"0,56",2,"0,57",3,"0,83",3,"0,82",2,"0,54"
"Altres equipaments culturals",6,"1,29",6,"1,22",6,"1,45",6,"1,5",6,"1,64",6,"1,69",6,"1,71",7,"1,94",6,"1,63",6,"1,63"
"Escoles bressol",23,"4,94",23,"4,68",24,"5,78",24,"5,99",23,"6,28",24,"6,76",24,"6,84",24,"6,65",26,"7,08",27,"7,32"
"Centres primària",26,"5,58",26,"5,3",26,"6,27",26,"6,48",26,"7,1",26,"7,32",26,"7,41",26,"7,2",26,"7,08",26,"7,05"
"Centres secundària",12,"2,58",12,"2,44",11,"2,65",11,"2,74",11,"3,01",11,"3,1",11,"3,13",11,"3,05",11,3,11,"2,98"
"Centres universitaris",19,"4,08",19,"3,87",19,"4,58",18,"4,49",18,"4,92",18,"5,07",19,"5,41",19,"5,26",19,"5,18",21,"5,69"
"Centres especialitzats",50,"10,73",46,"9,37",39,"9,4",33,"8,23",19,"5,19",14,"3,94",8,"2,28",8,"2,22",7,"1,91",7,"1,9"
"Altres equipaments educatius",14,3,14,"2,85",14,"3,37",12,"2,99",11,"3,01",11,"3,1",11,"3,13",12,"3,32",13,"3,54",12,"3,25"
"Equipament esportiu",23,"4,94",21,"4,28",13,"3,13",9,"2,24",0,0,0,0,0,0,0,0,0,0,0,0
Pavellons,7,"1,5",7,"1,43",7,"1,69",7,"1,75",7,"1,91",7,"1,97",7,"1,99",7,"1,94",7,"1,91",7,"1,9"
Piscines,3,"0,64",3,"0,61",3,"0,72",3,"0,75",3,"0,82",4,"1,13",4,"1,14",4,"1,11",4,"1,09",4,"1,08"
"Camps de futbol",7,"1,5",7,"1,43",7,"1,69",7,"1,75",7,"1,91",7,"1,97",7,"1,99",7,"1,94",7,"1,91",7,"1,9"
"Pistes de tennis",1,"0,21",1,"0,2",1,"0,24",1,"0,25",1,"0,27",1,"0,28",1,"0,28",1,"0,28",1,"0,27",1,"0,27"
"Complex esportiu",8,"1,72",8,"1,63",8,"1,93",8,2,8,"2,19",8,"2,25",8,"2,28",9,"2,49",9,"2,45",9,"2,44"
"Altres equipaments esportius",10,"2,15",9,"1,83",9,"2,17",11,"2,74",11,"3,01",11,"3,1",12,"3,42",10,"2,77",9,"2,45",9,"2,44"
"Equipament religiós",54,"11,59",57,"11,61",57,"13,73",57,"14,21",57,"15,57",57,"16,06",58,"16,52",60,"16,62",59,"16,08",57,"15,45"
Hospitals,1,"0,21",1,"0,2",1,"0,24",1,"0,25",1,"0,27",1,"0,28",1,"0,28",1,"0,28",1,"0,27",1,"0,27"
Clíniques,3,"0,64",4,"0,81",4,"0,96",4,1,4,"1,09",4,"1,13",4,"1,14",3,"0,83",3,"0,82",3,"0,81"
CAPs,8,"1,72",57,"11,61",8,"1,93",7,"1,75",7,"1,91",7,"1,97",7,"1,99",7,"1,94",7,"1,91",7,"1,9"
"Altres equipaments sanitaris",79,"16,95",57,"11,61",46,"11,08",43,"10,72",32,"8,74",25,"7,04",20,"5,7",21,"5,82",21,"5,72",20,"5,42"
"Serveis tècnics",23,"4,94",24,"4,89",24,"5,78",24,"5,99",24,"6,56",24,"6,76",25,"7,12",24,"6,65",23,"6,27",24,"6,5"
Total,466,100,491,100,415,100,401,100,366,100,355,100,351,100,361,100,367,100,369,100
