"Orgànica";"Programa";"Econòmica";"Descripció";"Crèdits inicials";"Modificacions de crèdit";"Crèdits totals consignats";"Obligacions reconegudes"
"100";"44200";"60900";"MARQUESINA CONNEXIÓ ESTACIÓ AUTOBUSOS";"61.680,00";"325.000,00";"386.680,00";"0,00"
"100";"91210";"23001";"DIETES PERSONAL EVENTUAL";"0,00";"0,00";"0,00";"0,00"
"100";"91210";"10000";"ÒRGANS DE GOVERN";"291.644,12";"0,00";"291.644,12";"145.822,06"
"100";"91210";"11000";"P EVENTUAL PRESIDÈNCIA";"495.824,14";"0,00";"495.824,14";"240.222,05"
"100";"91210";"16000";"QUOTES SOCIALS ÒRGANS DE GOVERN";"224.664,00";"0,00";"224.664,00";"118.146,99"
"100";"91210";"23000";"INDEMNITZACIONS ÒRGANS DE GOVERN";"433.080,00";"0,00";"433.080,00";"260.736,00"
"100";"91220";"48000";"TRANSFERÈNCIES ALS GRUPS MUNICIPALS";"57.000,00";"0,00";"57.000,00";"28.500,00"
"100";"92000";"48000";"OFICINA TAV";"0,00";"10.000,00";"10.000,00";"0,00"
"100";"92000";"143";"ALTRE PERSONAL CONSELL PARTICIPATIU LLENGUA";"0,00";"0,00";"0,00";"0,00"
"100";"92010";"48000";"RELACIONS INSTITUCIONALS";"0,00";"89.162,65";"89.162,65";"27.382,65"
"100";"92010";"22009";"MATERIAL OFICINA PRESIDÈNCIA";"5.000,00";"4.576,48";"9.576,48";"8.245,21"
"100";"92010";"22604";"DESPESES FUNCIONAMENT PRESIDÈNCIA";"64.000,00";"752,73";"64.752,73";"13.930,96"
"100";"92010";"12000";"RETR.BAS.P.FUNCIONAR A1 PRESIDÈNCIA";"22.236,33";"0,00";"22.236,33";"7.337,40"
"100";"92010";"12003";"RETR.BAS.P.FUNCIONARI C1 PRESIDÈNCIA";"19.967,64";"0,00";"19.967,64";"9.983,82"
"100";"92010";"12006";"TRIENNIS P FUNCIONARI PRESIDÈNCIA";"14.298,02";"0,00";"14.298,02";"7.721,72"
"100";"92010";"12009";"ALTRES RETR.BAS.P.FUNCIONARI PRESIDÈNCIA";"11.194,63";"0,00";"11.194,63";"5.074,62"
"100";"92010";"12100";"COMP. DESTINACIÓ FUNCIONARIS PRESIDÈNCIA";"23.735,58";"0,00";"23.735,58";"10.045,46"
"100";"92010";"12101";"COMP. ESPECÍFIC FUNCIONARIS PRESIDÈNCIA";"43.432,21";"-13.656,90";"29.775,31";"12.360,13"
"100";"92010";"13000";"RETR.BAS.P.LABORAL PRESIDÈNCIA";"260.019,97";"-13.408,80";"246.611,17";"115.661,59"
"100";"92010";"13100";"RETR.P.LABORAL TEMPORAL PRESIDÈNCIA";"0,00";"0,00";"0,00";"0,00"
"100";"92010";"15000";"PRODUCTIVITAT PRESIDÈNCIA";"12.676,50";"0,00";"12.676,50";"0,00"
"100";"92010";"15100";"GRATIFICACIONS PERSONAL PRESIDÈNCIA";"10.992,27";"0,00";"10.992,27";"1.215,26"
"100";"92010";"15300";"COMPLEMENT DE DEDICACIÓ ESPECIAL PRESIDÈNCIA";"0,00";"27.065,70";"27.065,70";"15.559,64"
"100";"92010";"16000";"QUOTES SOCIALS PRESIDÈNCIA";"116.601,79";"0,00";"116.601,79";"53.708,78"
"100";"92011";"22614";"ADMINISTRACIÓ GENERAL";"115.000,00";"11.166,47";"126.166,47";"56.377,33"
"100";"92011";"22618";"ACTUACIONS TAV";"21.000,00";"10.890,00";"31.890,00";"13.128,59"
"100";"92011";"22616";"SUPORT FOMENT A LA CIUTAT";"20.000,00";"0,00";"20.000,00";"0,00"
"100";"92011";"22700";"NETEJA OFICINA TAV";"1.020,00";"909,36";"1.929,36";"996,33"
"100";"92011";"62300";"INVERSIONS PRESIDÈNCIA";"0,00";"400,09";"400,09";"186,40"
"100";"92011";"62500";"MOBILIARI PRESIDÈNCIA";"0,00";"427,65";"427,65";"427,65"
"100";"92013";"22711";"POLÍTICA LINGÜÍSTICA";"0,00";"0,00";"0,00";"0,00"
"100";"92021";"22711";"PROMOCIÓ I COMUNICACIÓ";"155.000,00";"182.508,65";"337.508,65";"129.242,45"
"100";"92021";"21000";"MANTENIMENT TV BARRI VELL";"0,00";"0,00";"0,00";"0,00"
"100";"92021";"22611";"IMATGE I DISSENY";"25.000,00";"-61,17";"24.938,83";"12.418,70"
"100";"92021";"48001";"CONVENI COMUNICACIÓ";"175.000,00";"-175.000,00";"0,00";"0,00"
"100";"92031";"49000";"TRANSFERÈNCIES - OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"0,00";"3.500,00";"3.500,00";"3.500,00"
"100";"92031";"22612";"OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"85.000,00";"-8.743,05";"76.256,95";"8.923,20"
"100";"92031";"48000";"TRANSF OFICINA ESTUDIS SOCIALS - PREMI EUROPA";"10.000,00";"800,00";"10.800,00";"800,00"
"100";"92031";"48001";"ALTRES TRANSFERÈNCIES-OFICINA D'ESTUDIS SOCIALS I EUROPEUS";"0,00";"8.300,51";"8.300,51";"8.300,51"
"100";"92041";"22712";"OFICINA DE L'OBSERVATORI";"13.386,90";"10.641,35";"24.028,25";"1.989,85"
"100";"92051";"22601";"DESENVOLUPAMENT INTEL·LIGENT";"144.000,00";"12.960,63";"156.960,63";"38.542,40"
"100";"92051";"22615";"GIRONA CIUTAT DIGITAL";"60.000,00";"-9.655,85";"50.344,15";"28.243,73"
"100";"92051";"48000";"SUBVENCIONS GIRONA CIUTAT DIGITAL";"0,00";"8.000,00";"8.000,00";"8.000,00"
"100";"92051";"62600";"INVERSIÓ EQUIPS INFORMÀTICS - PRESIDÈNCIA";"0,00";"903,77";"903,77";"903,77"
"100";"92221";"22619";"DESPESES RELACIONS INSTITUCIONALS";"63.000,00";"-13.751,75";"49.248,25";"6.529,43"
