,Descripcio,Nom_comercial,Codi_carrer,Codi_via,Nom_carrer,Numero_inf,Lletra_inf,Accessori_inf,Numero_sup,Lletra_sup, Accessori_sup,Escala,Pis,Porta,Id_edifici,utm_x_ed50,utm_y_ed50,utm_x_etrs89, utm_y_etrs89,lon,lat,Year
3483,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS GIRONA CENTRE,330,RB,Llibertat,43.0,,N,,,N,,1,,5837,485535.0,4648282.0,485441.0,4648077.0,"2,82425247","41,9845639",2013
3933,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS GIRONA,260,CR,Jaume I,26.0,,N,,,N,,7,1,4009,485237.0,4648318.0,485143.0,4648113.0,"2,82065417","41,9848826",2013
3934,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS GIRONA,260,CR,Jaume I,26.0,,N,,,N,,7,3,4009,485237.0,4648318.0,485143.0,4648113.0,"2,82065417","41,9848826",2013
4020,HABITATGE D'ÚS TURÍSTIC,LIVINGIRONA,90,CR,Camp d'Or,2.0,,N,,,N,,BS,3,6488,486316.0,4649518.0,486222.0,4649313.0,"2,83365167","41,99571012",2013
4024,HABITATGE D'ÚS TURÍSTIC,ATHENOU,484,CR,Portal Nou,16.0,,N,,,N,,3,2,3,485764.0,4648190.0,485670.0,4647985.0,"2,82701914","41,98373947",2013
4768,HABITATGE D'ÚS TURÍSTIC,,552,CR,Rosselló,25.0,,N,,,N,,1,,4923,484288.0,4646576.0,484194.0,4646371.0,"2,80924467","41,96917458",2013
4862,HABITATGE D'ÚS TURÍSTIC,EL REIENTINC,124,CR,Carme Auguet i Comalada,5.0,,N,,,N,,BS,1,7105,486657.0,4648783.0,486563.0,4648578.0,"2,8377856","41,9890961",2013
4969,HABITATGE D'ÚS TURÍSTIC,L'ENCANT DE LA RAMBLA,330,RB,Llibertat,15.0,,N,,,N,,2,,5770,485506.0,4648204.0,485412.0,4647999.0,"2,82390431","41,98386085",2013
5042,HABITATGE D'ÚS TURÍSTIC,,16,CR,Alemanys,5.0,,N,,,N,,1,,5916,485748.0,4648475.0,485654.0,4648270.0,"2,82681906","41,98630608",2013
5132,HABITATGE D'ÚS TURÍSTIC,,16,CR,Alemanys,5.0,,N,,,N,,2,,5916,485748.0,4648475.0,485654.0,4648270.0,"2,82681906","41,98630608",2013
5243,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,455,RD,Pedret,7.0,,N,,,N,,5,3,6644,485597.0,4649014.0,485503.0,4648809.0,"2,82498293","41,99115792",2013
5256,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,55,CR,Barca,16.0,,N,18.0,,N,,2,2,11169,485556.0,4648732.0,485462.0,4648527.0,"2,82449489","41,98861729",2013
5310,HABITATGE D'ÚS TURÍSTIC,,558,CR,Sant Agustí,46.0,,N,48.0,,N,,1,3,11269,485282.0,4646737.0,485188.0,4646532.0,"2,82123708","41,97064389",2013
5335,HABITATGE D'ÚS TURÍSTIC,,359,PL,Marquès de Camps,8.0,,N,,,N,,4,2,1108,485077.0,4647994.0,484983.0,4647789.0,"2,81873093","41,98196142",2013
5350,HABITATGE D'ÚS TURÍSTIC,QLODGING,430,PL,Oli,6.0,,N,,,N,,1,A,12196,485674.0,4648286.0,485580.0,4648081.0,"2,82593035","41,98460248",2013
5535,HABITATGE D'ÚS TURÍSTIC,QLODGING,430,PL,Oli,6.0,,N,,,N,,2,B,12196,485674.0,4648286.0,485580.0,4648081.0,"2,82593035","41,98460248",2013
5544,HABITATGE D'ÚS TURÍSTIC,,302,CR,Joaquim Botet i Sisó,7.0,,N,,,N,,2,1,11206,485653.0,4646937.0,485559.0,4646732.0,"2,82570984","41,97245209",2013
5567,HABITATGE D'ÚS TURÍSTIC,L'ENCANT DE LA RAMBLA,330,RB,Llibertat,15.0,,N,,,N,,1,,5770,485506.0,4648204.0,485412.0,4647999.0,"2,82390431","41,98386085",2013
5568,HABITATGE D'ÚS TURÍSTIC,L'ENCANT DE LA RAMBLA,330,RB,Llibertat,15.0,,N,,,N,,3,,5770,485506.0,4648204.0,485412.0,4647999.0,"2,82390431","41,98386085",2013
