,Descripcio,Nom_comercial,Codi_carrer,Nom_carrer,Numero_inf,Lletra_inf,Accessori_inf,Numero_sup,Lletra_sup, Accessori_sup,Escala,Pis,Porta,Id_edifici,Sector,utm_x_etrs89, utm_y_etrs89,lon,lat,Year
12,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,1,1,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
13,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,1,2,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
14,HABITATGE D'ÚS TURÍSTIC,-,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,2,1,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
15,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,2,2,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
16,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,3,1,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
17,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,3,2,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
18,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,4,1,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
19,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,4,2,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
20,HABITATGE D'ÚS TURÍSTIC,APARTAMENTS RC,6,Carrer dels Abeuradors,7,-,N,-,-,N,-,EN,2,5716,Barri Vell,485440.0,4647944.0,"2,82423781","41,98336319",2022
93,HABITATGE D'ÚS TURÍSTIC,-,14,Carrer de l'Albereda,15,-,N,-,-,N,-,3,1,98,Barri Vell,485424.0,4647752.0,"2,82404943","41,98163362",2022
99,HABITATGE D'ÚS TURÍSTIC,ALEMANYS 5,16,Carrer dels Alemanys,5,-,N,-,-,N,-,1,-,5916,Barri Vell,485655.0,4648270.0,"2,82682523","41,98630330",2022
100,HABITATGE D'ÚS TURÍSTIC,ALEMANYS 5,16,Carrer dels Alemanys,5,-,N,-,-,N,-,2,-,5916,Barri Vell,485655.0,4648270.0,"2,82682523","41,98630330",2022
101,HABITATGE D'ÚS TURÍSTIC,-,16,Carrer dels Alemanys,6,-,N,-,-,N,-,-,-,5878,Barri Vell,485672.0,4648260.0,"2,82703070","41,98621355",2022
102,HABITATGE D'ÚS TURÍSTIC,ALLOTJAMENTS SINGULARS,16,Carrer dels Alemanys,10,-,N,-,-,N,-,1,-,5880,Barri Vell,485702.0,4648271.0,"2,82739259","41,98631316",2022
103,HABITATGE D'ÚS TURÍSTIC,ALLOTJAMENTS SINGULARS,16,Carrer dels Alemanys,10,-,N,-,-,N,-,2,-,5880,Barri Vell,485702.0,4648271.0,"2,82739259","41,98631316",2022
104,HABITATGE D'ÚS TURÍSTIC,ALLOTJAMENT SINGULAR,16,Carrer dels Alemanys,10,-,N,-,-,N,-,3,-,5880,Barri Vell,485702.0,4648271.0,"2,82739259","41,98631316",2022
106,HABITATGE D'ÚS TURÍSTIC,-,16,Carrer dels Alemanys,12,-,N,-,-,N,-,2,-,5881,Barri Vell,485706.0,4648273.0,"2,82744083","41,98633125",2022
143,HABITATGE D'ÚS TURÍSTIC,LA MAGRANA,28,Carrer d'Àngela Bivern i Puig,8,-,N,-,-,N,-,-,-,6365,Montjuïc,485728.0,4649392.0,"2,82767924","41,99641008",2022
154,HABITATGE D'ÚS TURÍSTIC,-,29,Carrer d'Anselm Clavé i Camps,24,-,N,-,-,N,-,2,-,3846,Mercadal,485314.0,4648161.0,"2,82271137","41,98531530",2022
172,HABITATGE D'ÚS TURÍSTIC,-,30,Carrer d'Antic Roca,23,-,N,-,-,N,-,1,1,1697,Eixample Sud,485350.0,4646877.0,"2,82317796","41,97375142",2022
207,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,36,Carrer de l'Argenteria,10,-,N,-,-,N,-,PR,1,5819,Barri Vell,485471.0,4648097.0,"2,82460824","41,98474178",2022
216,HABITATGE D'ÚS TURÍSTIC,-,36,Carrer de l'Argenteria,18,-,N,-,-,N,-,2,-,5831,Barri Vell,485488.0,4648120.0,"2,82481290","41,98494925",2022
219,HABITATGE D'ÚS TURÍSTIC,-,36,Carrer de l'Argenteria,23,-,N,-,-,N,-,1,-,5849,Barri Vell,485470.0,4648148.0,"2,82459491","41,98520110",2022
220,HABITATGE D'ÚS TURÍSTIC,-,36,Carrer de l'Argenteria,23,-,N,-,-,N,-,2,-,5849,Barri Vell,485470.0,4648148.0,"2,82459491","41,98520110",2022
221,HABITATGE D'ÚS TURÍSTIC,-,36,Carrer de l'Argenteria,23,-,N,-,-,N,-,3,-,5849,Barri Vell,485470.0,4648148.0,"2,82459491","41,98520110",2022
222,HABITATGE D'ÚS TURÍSTIC,FLATELI,36,Carrer de l'Argenteria,23,-,N,-,-,N,-,4,-,5849,Barri Vell,485470.0,4648148.0,"2,82459491","41,98520110",2022
224,HABITATGE D'ÚS TURÍSTIC,-,36,Carrer de l'Argenteria,25,-,N,-,-,N,-,5,-,5850,Barri Vell,485471.0,4648153.0,"2,82460686","41,98524615",2022
251,HABITATGE D'ÚS TURÍSTIC,-,42,Carrer de l'Auriga,6,-,N,-,-,N,-,1,-,74,Barri Vell,485510.0,4647831.0,"2,82508560","41,98234673",2022
254,HABITATGE D'ÚS TURÍSTIC,FUNDACIÓ L'OLIVAR,43,Travessia de l'Auriga,7,-,N,-,-,N,-,3,-,61,Barri Vell,485519.0,4647815.0,"2,82519464","41,98220279",2022
277,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,3,-,N,-,-,N,-,2,1,5994,Barri Vell,485486.0,4648177.0,"2,82478735","41,98546259",2022
278,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,3,-,N,-,-,N,-,2,2,5994,Barri Vell,485486.0,4648177.0,"2,82478735","41,98546259",2022
279,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,3,-,N,-,-,N,-,3,1,5994,Barri Vell,485486.0,4648177.0,"2,82478735","41,98546259",2022
280,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,3,-,N,-,-,N,-,3,2,5994,Barri Vell,485486.0,4648177.0,"2,82478735","41,98546259",2022
285,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,5,-,N,-,-,N,-,2,1,5995,Barri Vell,485487.0,4648183.0,"2,82479927","41,98551665",2022
293,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,13,-,N,-,-,N,-,3,-,5999,Barri Vell,485488.0,4648201.0,"2,82481090","41,98567879",2022
295,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,15,-,N,-,-,N,-,1,-,6000,Barri Vell,485490.0,4648206.0,"2,82483492","41,98572386",2022
296,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,16,-,N,-,-,N,-,1,-,5957,Barri Vell,485507.0,4648205.0,"2,82504017","41,98571516",2022
297,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,16,-,N,-,-,N,-,2,-,5957,Barri Vell,485507.0,4648205.0,"2,82504017","41,98571516",2022
300,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,18,-,N,-,-,N,-,1,-,5958,Barri Vell,485505.0,4648210.0,"2,82501590","41,98576016",2022
301,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,18,-,N,-,-,N,-,2,-,5958,Barri Vell,485505.0,4648210.0,"2,82501590","41,98576016",2022
304,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,20,-,N,-,-,N,-,1,1,5959,Barri Vell,485504.0,4648215.0,"2,82500370","41,98580517",2022
307,HABITATGE D'ÚS TURÍSTIC,GIRONA RIVERSIDE,51,Carrer de les Ballesteries,23,-,N,-,-,N,-,2,-,6004,Barri Vell,485484.0,4648223.0,"2,82476207","41,98587686",2022
309,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,25,-,N,-,-,N,-,2,-,6005,Barri Vell,485483.0,4648227.0,"2,82474989","41,98591287",2022
310,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,25,-,N,-,-,N,-,3,-,6005,Barri Vell,485483.0,4648227.0,"2,82474989","41,98591287",2022
311,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,51,Carrer de les Ballesteries,26,-,N,-,-,N,-,1,-,8632,Barri Vell,485494.0,4648244.0,"2,82488227","41,98606618",2022
312,HABITATGE D'ÚS TURÍSTIC,GIROROOMS,51,Carrer de les Ballesteries,26,-,N,-,-,N,-,2,-,8632,Barri Vell,485494.0,4648244.0,"2,82488227","41,98606618",2022
317,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,31,-,N,-,-,N,-,2,-,6008,Barri Vell,485479.0,4648250.0,"2,82470104","41,98611995",2022
320,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,34,-,N,36,-,N,-,1,-,5966,Barri Vell,485489.0,4648264.0,"2,82482141","41,98624622",2022
321,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,34,-,N,36,-,N,-,2,-,5966,Barri Vell,485489.0,4648264.0,"2,82482141","41,98624622",2022
327,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,38,-,N,42,-,N,-,2,2,5969,Barri Vell,485487.0,4648275.0,"2,82479700","41,98634526",2022
328,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,38,-,N,42,-,N,-,3,1,5969,Barri Vell,485487.0,4648275.0,"2,82479700","41,98634526",2022
333,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,39,-,N,-,-,N,-,1,1,6011,Barri Vell,485472.0,4648265.0,"2,82461616","41,98625492",2022
334,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,39,-,N,-,-,N,-,2,1,6011,Barri Vell,485472.0,4648265.0,"2,82461616","41,98625492",2022
335,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,39,-,N,-,-,N,-,3,1,6011,Barri Vell,485472.0,4648265.0,"2,82461616","41,98625492",2022
336,HABITATGE D'ÚS TURÍSTIC,-,51,Carrer de les Ballesteries,39,-,N,-,-,N,-,4,1,6011,Barri Vell,485472.0,4648265.0,"2,82461616","41,98625492",2022
341,HABITATGE D'ÚS TURÍSTIC,AS L'ESTUDI DE L'ONYAR,51,Carrer de les Ballesteries,45,-,N,-,-,N,-,EN,1,6014,Barri Vell,485470.0,4648283.0,"2,82459157","41,98641700",2022
342,HABITATGE D'ÚS TURÍSTIC,SLEEPINGIRONA,51,Carrer de les Ballesteries,45,-,N,-,-,N,-,EN,2,6014,Barri Vell,485470.0,4648283.0,"2,82459157","41,98641700",2022
360,HABITATGE D'ÚS TURÍSTIC,-,55,Carrer de la Barca,2,-,N,8,-,N,-,1,5,6071,Barri Vell,485455.0,4648494.0,"2,82440527","41,98831712",2022
